,Gare,Latitude,Longitude
367,Bram,43.2441014,2.1191467
368,Brandérion,47.7823179,-3.1940402
369,Brassac-les-Mines - Sainte-Florine,45.414246,3.330167
370,Brax - Léguevin,43.614887,1.236922
371,Brazey-en-Plaine,47.1314549,5.2121276
372,Bréauté - Beuzeville,49.603396,0.417489
373,Brebières,50.33624,3.0142
374,Breil-sur-Roya,43.944039,7.5163276
375,Breitenbach,48.0285326,7.1040522
376,Brélidy - Plouëc,48.669204,-3.196269
377,Bressuire,46.8384462,-0.4963269
378,Brest,48.38811,-4.478903
379,Breteil,48.1405713,-1.8972095
380,Bretenoux - Biars,44.9273692,1.8436871
381,Breteuil,49.626389,2.3845164
382,Bretigny - Norges,47.390044,5.1105838
383,Brétigny-sur-Orge,48.606683,2.302378
384,Bretoncelles,48.4326737,0.8923825
385,Bretteville - Norrey,49.2034112,-0.5127396
386,Breuil - Romain,49.3084141,3.7665322
387,Breuillet - Bruyères-le-Châtel,48.577228,2.191721
388,Breuillet Village,48.564776,2.171207
389,Bréval,48.94336,1.54191
390,Briançon,44.889853,6.633007
391,Briare,47.6464312,2.7337154
392,Brignac,45.8635812,1.4406315
393,Brignais,45.6737721,4.7636596
394,Brignoud,45.26245,5.901472
395,Brimeux,50.4470409,1.8313826
396,Brion - Laizy,46.9085776,4.2069898
397,Brion - Montréal-la-Cluse,46.1757013,5.5585203
398,Brionne,49.1964187,0.7115304
399,Brioude,45.3006493,3.3786344
400,Briouze,48.7018622,-0.3682036
401,Brive-la-Gaillarde,45.152618,1.528655
402,Broons,48.3332957,-2.2356578
403,Brou,48.2157588,1.1606705
404,Broye,46.8619444,4.2960996
405,Bruges,44.8870124,-0.609445
406,Brumath,48.7331082,7.7004016
407,Brunémont,50.2783197,3.1453509
408,Brunoy,48.699112,2.506422
409,Bruyères,48.204895,6.7187638
410,Bruyères-sur-Oise,49.1552098,2.3259636
411,Bruz,48.0286,-1.7518088
412,Bueil,48.9253816,1.4435896
413,Bugeat,45.6005968,1.9248147
414,Buire-sur-l'Ancre,49.9647735,2.5981885
415,Bully - Grenay,50.44843,2.73317
416,Buno - Gironville,48.370847,2.3871153
417,Busigny,50.0397236,3.4461174
418,Bussac-Forêt,45.211928,-0.3682457
419,Busseau sur Creuse,46.1230257,2.0229244
420,Bussière-Galant,45.6076224,1.0261372
421,Buzy en Béarn,43.1482723,-0.4558864
