,Date,Température moyenne
702,2020-12-03,6
703,2020-12-04,6
704,2020-12-05,4
705,2020-12-06,5
706,2020-12-07,3
707,2020-12-08,2
708,2020-12-09,4
709,2020-12-10,5
710,2020-12-11,8
711,2020-12-12,8
712,2020-12-13,6
713,2020-12-14,9
714,2020-12-15,10
715,2020-12-16,8
716,2020-12-17,9
717,2020-12-18,9
718,2020-12-19,10
719,2020-12-20,9
720,2020-12-21,9
721,2020-12-22,13
722,2020-12-23,12
723,2020-12-24,7
724,2020-12-25,5
725,2020-12-26,4
726,2020-12-27,7
727,2020-12-28,5
728,2020-12-29,4
729,2020-12-30,4
730,2020-12-31,4
731,2021-01-01,1
732,2021-01-02,2
733,2021-01-03,3
734,2021-01-04,2
735,2021-01-05,2
736,2021-01-06,2
737,2021-01-07,2
738,2021-01-08,1
739,2021-01-09,1
740,2021-01-10,1
741,2021-01-11,2
742,2021-01-12,7
743,2021-01-13,7
744,2021-01-14,9
745,2021-01-15,3
746,2021-01-16,0
747,2021-01-17,4
748,2021-01-18,4
749,2021-01-19,6
750,2021-01-20,8
751,2021-01-21,8
752,2021-01-22,5
753,2021-01-23,4
754,2021-01-24,2
755,2021-01-25,3
756,2021-01-26,3
757,2021-01-27,6
758,2021-01-28,11
759,2021-01-29,10
760,2021-01-30,10
761,2021-01-31,7
762,2021-02-01,9
763,2021-02-02,11
764,2021-02-03,11
765,2021-02-04,8
766,2021-02-05,9
767,2021-02-06,8
768,2021-02-07,4
769,2021-02-08,0
770,2021-02-09,-1
771,2021-02-10,-2
772,2021-02-11,-2
773,2021-02-12,-1
774,2021-02-13,-2
775,2021-02-14,-1
776,2021-02-15,4
777,2021-02-16,7
778,2021-02-17,9
779,2021-02-18,9
780,2021-02-19,8
781,2021-02-20,12
782,2021-02-21,12
783,2021-02-22,12
784,2021-02-23,12
785,2021-02-24,14
786,2021-02-25,12
787,2021-02-26,9
788,2021-02-27,7
789,2021-02-28,7
790,2021-03-01,8
791,2021-03-02,10
792,2021-03-03,11
793,2021-03-04,9
794,2021-03-05,5
795,2021-03-06,4
796,2021-03-07,5
797,2021-03-08,4
798,2021-03-09,6
799,2021-03-10,7
800,2021-03-11,11
801,2021-03-12,8
802,2021-03-13,9
803,2021-03-14,7
804,2021-03-15,9
805,2021-03-16,8
806,2021-03-17,7
807,2021-03-18,5
808,2021-03-19,5
809,2021-03-20,5
810,2021-03-21,7
811,2021-03-22,7
812,2021-03-23,8
813,2021-03-24,10
814,2021-03-25,10
815,2021-03-26,9
816,2021-03-27,9
817,2021-03-28,12
818,2021-03-29,14
819,2021-03-30,16
820,2021-03-31,17
821,2021-04-01,17
822,2021-04-02,10
823,2021-04-03,8
824,2021-04-04,9
825,2021-04-05,5
826,2021-04-06,3
827,2021-04-07,4
828,2021-04-08,8
829,2021-04-09,10
830,2021-04-10,10
831,2021-04-11,5
832,2021-04-12,5
833,2021-04-13,7
834,2021-04-14,7
835,2021-04-15,6
836,2021-04-16,6
837,2021-04-17,8
838,2021-04-18,8
839,2021-04-19,10
840,2021-04-20,12
841,2021-04-21,12
842,2021-04-22,9
843,2021-04-23,11
844,2021-04-24,13
845,2021-04-25,11
846,2021-04-26,11
847,2021-04-27,12
848,2021-04-28,12
849,2021-04-29,9
850,2021-04-30,9
851,2021-05-01,10
852,2021-05-02,9
853,2021-05-03,11
854,2021-05-04,11
855,2021-05-05,9
856,2021-05-06,7
857,2021-05-07,10
858,2021-05-08,14
859,2021-05-09,18
860,2021-05-10,15
861,2021-05-11,12
862,2021-05-12,13
863,2021-05-13,11
864,2021-05-14,10
865,2021-05-15,11
866,2021-05-16,12
867,2021-05-17,11
868,2021-05-18,12
869,2021-05-19,11
870,2021-05-20,13
871,2021-05-21,14
872,2021-05-22,12
873,2021-05-23,12
874,2021-05-24,12
875,2021-05-25,10
876,2021-05-26,12
877,2021-05-27,15
878,2021-05-28,15
879,2021-05-29,17
880,2021-05-30,17
881,2021-05-31,17
882,2021-06-01,20
883,2021-06-02,19
884,2021-06-03,21
885,2021-06-04,19
886,2021-06-05,15
887,2021-06-06,18
888,2021-06-07,19
889,2021-06-08,19
890,2021-06-09,21
891,2021-06-10,21
892,2021-06-11,21
893,2021-06-12,20
894,2021-06-13,20
895,2021-06-14,23
896,2021-06-15,24
897,2021-06-16,25
898,2021-06-17,24
899,2021-06-18,21
900,2021-06-19,21
901,2021-06-20,20
902,2021-06-21,19
903,2021-06-22,15
904,2021-06-23,15
905,2021-06-24,16
906,2021-06-25,17
907,2021-06-26,18
908,2021-06-27,18
909,2021-06-28,18
910,2021-06-29,16
911,2021-06-30,15
912,2021-07-01,18
913,2021-07-02,19
914,2021-07-03,20
915,2021-07-04,17
916,2021-07-05,17
917,2021-07-06,19
918,2021-07-07,18
919,2021-07-08,18
920,2021-07-09,19
921,2021-07-10,18
922,2021-07-11,19
923,2021-07-12,19
924,2021-07-13,17
925,2021-07-14,18
926,2021-07-15,19
927,2021-07-16,18
928,2021-07-17,18
929,2021-07-18,22
930,2021-07-19,21
931,2021-07-20,21
932,2021-07-21,23
933,2021-07-22,23
934,2021-07-23,23
935,2021-07-24,22
936,2021-07-25,19
937,2021-07-26,20
938,2021-07-27,19
939,2021-07-28,19
940,2021-07-29,19
941,2021-07-30,18
942,2021-07-31,18
943,2021-08-01,18
944,2021-08-02,18
945,2021-08-03,17
946,2021-08-04,18
947,2021-08-05,19
948,2021-08-06,19
949,2021-08-07,18
950,2021-08-08,18
951,2021-08-09,18
952,2021-08-10,20
953,2021-08-11,21
954,2021-08-12,24
955,2021-08-13,23
956,2021-08-14,22
957,2021-08-15,24
958,2021-08-16,19
959,2021-08-17,17
960,2021-08-18,19
961,2021-08-19,19
962,2021-08-20,21
963,2021-08-21,22
964,2021-08-22,19
965,2021-08-23,18
966,2021-08-24,19
967,2021-08-25,19
968,2021-08-26,17
969,2021-08-27,17
970,2021-08-28,16
971,2021-08-29,16
972,2021-08-30,17
973,2021-08-31,18
974,2021-09-01,17
975,2021-09-02,20
976,2021-09-03,21
977,2021-09-04,21
978,2021-09-05,23
979,2021-09-06,23
980,2021-09-07,24
981,2021-09-08,24
982,2021-09-09,23
983,2021-09-10,21
984,2021-09-11,20
985,2021-09-12,19
986,2021-09-13,21
987,2021-09-14,20
988,2021-09-15,20
989,2021-09-16,18
990,2021-09-17,19
991,2021-09-18,18
992,2021-09-19,19
993,2021-09-20,16
994,2021-09-21,16
995,2021-09-22,16
996,2021-09-23,17
997,2021-09-24,18
998,2021-09-25,19
999,2021-09-26,19
1000,2021-09-27,17
1001,2021-09-28,15
1002,2021-09-29,14
1003,2021-09-30,13
1004,2021-10-01,14
1005,2021-10-02,15
1006,2021-10-03,15
1007,2021-10-04,15
1008,2021-10-05,14
1009,2021-10-06,13
1010,2021-10-07,13
1011,2021-10-08,13
1012,2021-10-09,14
1013,2021-10-10,13
1014,2021-10-11,13
1015,2021-10-12,11
1016,2021-10-13,12
1017,2021-10-14,12
1018,2021-10-15,12
1019,2021-10-16,12
1020,2021-10-17,11
1021,2021-10-18,14
1022,2021-10-19,19
1023,2021-10-20,19
1024,2021-10-21,12
1025,2021-10-22,9
1026,2021-10-23,12
1027,2021-10-24,10
1028,2021-10-25,13
1029,2021-10-26,12
1030,2021-10-27,13
1031,2021-10-28,13
1032,2021-10-29,14
1033,2021-10-30,12
1034,2021-10-31,13
1035,2021-11-01,11
1036,2021-11-02,10
1037,2021-11-03,9
1038,2021-11-04,8
1039,2021-11-05,9
1040,2021-11-06,8
1041,2021-11-07,10
1042,2021-11-08,9
1043,2021-11-09,8
1044,2021-11-10,7
1045,2021-11-11,6
1046,2021-11-12,8
1047,2021-11-13,12
1048,2021-11-14,10
1049,2021-11-15,9
1050,2021-11-16,8
1051,2021-11-17,10
1052,2021-11-18,8
1053,2021-11-19,10
1054,2021-11-20,10
1055,2021-11-21,8
1056,2021-11-22,6
1057,2021-11-23,5
1058,2021-11-24,4
1059,2021-11-25,5
1060,2021-11-26,5
1061,2021-11-27,4
1062,2021-11-28,4
1063,2021-11-29,3
1064,2021-11-30,6
1065,2021-12-01,9
1066,2021-12-02,4
1067,2021-12-03,3
1068,2021-12-04,9
1069,2021-12-05,5
1070,2021-12-06,6
1071,2021-12-07,5
1072,2021-12-08,5
1073,2021-12-09,5
1074,2021-12-10,6
1075,2021-12-11,5
1076,2021-12-12,9
1077,2021-12-13,8
1078,2021-12-14,7
1079,2021-12-15,8
1080,2021-12-16,7
1081,2021-12-17,6
1082,2021-12-18,6
1083,2021-12-19,5
1084,2021-12-20,5
1085,2021-12-21,2
1086,2021-12-22,0
1087,2021-12-23,4
1088,2021-12-24,8
1089,2021-12-25,8
